Division,TLE,Name,NORAD,COSPAR,Nonoperational,Comments
Astrophysics,SWAS,SWAS,25560,1998-071A,past,
Astrophysics,Swift,Swift,28485,2004-047A,,
Earth,Terra,Terra,25994,1999-068A,,
Earth,TERRIERS,TERRIERS,25735,1999-026A,past,
Heliophysics,THEMIS,THEMIS,30580,2007-004A,,"THEMIS A: A,D,E"
Heliophysics,TIMED,TIMED,26998,2001-055B,,
Earth,TIROS,TIROS,29,1960-002B,past,TIROS 1: Many TIROS satellites 1960-1978
Earth,TOMS-EP,TOMS-EP,23940,1996-037A,past,
Earth,TOPEX/Poseidon,TOPEX/Poseidon,22076,1992-052A,past,
Astrophysics,TPF,TPF,,,studied,
Heliophysics,TRACE,TRACE,25280,1998-020A,past,
Earth,TRMM,TRMM,25063,1997-074A,,
Heliophysics,TWINS A & B,TWINS A & B,32706,008-010A,,USA 200
Earth,UARS,UARS,21701,1991-063B,decayed,
Heliophysics,Ulysses,Ulysses,20842,1990-090B,past,
Planetary,Viking 1 - 2,Viking 1 - 2,8108,1975-075A,past,"VIKING 1: VIKING {1,2} {ORBITER,LANDER}"
Heliophysics,Voyager,Voyager,10321,1977-084A,,VOYAGER 1: 1-2
Heliophysics,Wind,Wind,23333,1994-071A,,
Astrophysics,WIRE,WIRE,25646,1999-011A,decayed,
Astrophysics,WISE,WISE,36119,2009-071A,past,
Astrophysics,WMAP,WMAP,26859,2001-027A,past,MAP
Astrophysics,XMM-Newton,XMM-Newton,25989,1999-066A,,
Heliophysics,Yohkoh,Yohkoh,21694,1991-062A,past,
