SATELLITE                ,  earth-resource, education, engineering, geodetic, goes, science, space-stations, tdrss, weather
RASAT                    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RAZAKSAT                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RESURS-DK 1              ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RHESSI                   ,                ,          ,            ,         ,     , science,               ,      ,        ,
RISAT 1                  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RSS-1 (YAOGAN 1)         ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RXTE (XTE)               ,                ,          ,            ,         ,     , science,               , tdrss,        ,
SAC-C                    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SAC-D                    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SAFIR 2                  ,                ,          ,            ,         ,     , science,               ,      ,        ,
SAMPEX                   ,                ,          ,            ,         ,     , science,               ,      ,        ,
SARA                     ,                ,          ,            ,         ,     , science,               ,      ,        ,
SAUDISAT 1A              ,                , education,            ,         ,     ,        ,               ,      ,        ,
SAUDISAT 1B              ,                , education,            ,         ,     ,        ,               ,      ,        ,
SAUDISAT 1C              ,                , education,            ,         ,     ,        ,               ,      ,        ,
SAUDISAT 2               ,                , education,            ,         ,     ,        ,               ,      ,        ,
SAUDISAT 3               ,                , education,            ,         ,     ,        ,               ,      ,        ,
SCISAT 1                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
SDO                      ,                ,          ,            ,         ,     , science,               ,      ,        ,
SFERA                    ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
SINAH 1                  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SJ-6C                    ,                ,          ,            ,         ,     , science,               ,      ,        ,
SJ-6D                    ,                ,          ,            ,         ,     , science,               ,      ,        ,
SMOS                     ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SNAP 1                   ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
SORCE                    ,                ,          ,            ,         ,     , science,               , tdrss,        ,
SOYUZ-TMA 05M            ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
SPOT 2                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SPOT 4                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SPOT 5                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SPOT 6                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SRMSAT                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
SSETI EXPRESS (XO-53)    ,                , education,            ,         ,     ,        ,               ,      ,        ,
ST5-A                    ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
ST5-B                    ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
ST5-C                    ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
STARLETTE                ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
STELLA                   ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
STSAT-1                  ,                ,          ,            ,         ,     , science,               ,      ,        ,
SUMBANDILA (SO-67)       ,                ,          ,            ,         ,     , science,               ,      ,        ,
SUNSAT (SO-35)           ,                ,          ,            ,         ,     , science,               ,      ,        ,
SUOMI NPP                ,                ,          ,            ,         ,     ,        ,               ,      , weather,
SURFSAT                  ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
SUZAKU (ASTRO-EII)       ,                ,          ,            ,         ,     , science,               ,      ,        ,
SWAS                     ,                ,          ,            ,         ,     , science,               ,      ,        ,
SWIFT                    ,                ,          ,            ,         ,     , science,               , tdrss,        ,
